Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Endy Rodríguez","PIT",23.786,87.901,79.9435,18.8909,12.3957,4.42771,0.397972,1.66948,8.88163,9.07952,6.44059,0.150549,18.2486,0.727958,0.677236,0.111682,1.34679,0.528302,0.165607,0.236302,0.0732709,0.207604,0.352935,0.29684,0.364294,0.289694,0.661134,0.127991,3.77982,0.283701,,-0.0903215,8.71895,-1.66723,82.1512,-0.0903215,0.14,-1.949827179312706,-0.04353395104408264,0.0952659,999,,,,,,,79.7,3.320833333,79.7,3.320833333,,,,,,,,,,,,,,,,,,,"Endy Rodriguez","25332",682848
"Alex Verdugo","SDP",24.135,92.29,83.5568,20.9634,14.5908,4.32058,0.209942,1.84203,9.72633,9.71101,7.19697,0.17872,13.8963,0.582941,0.729333,0.22393,2.06441,0.490761,0.171885,0.250888,0.0779821,0.150572,0.517904,0.312203,0.373757,0.300844,0.68596,0.122869,3.10742,0.278949,,-0.118742,9.98977,-0.915,91.3722,-0.118742,-0.03,-1.0598475188016891,-1.1473610680550337,0.0937472,999,,,,,,,88,3.666666666,88,3.666666666,,,,,,,,,,,,,,,,,,,"Alex Verdugo","17027",657077
"Alejandro Osuna","TEX",21.809,78.063,69.5183,16.5942,11.5868,3.34318,0.332873,1.33138,8.84662,6.60148,6.32019,0.224406,16.9623,1.04016,0.614855,0.569536,1.3261,2.31822,0.58986,0.238703,0.0809627,0.217289,0.372603,0.309118,0.353825,0.292693,0.662943,0.115122,5.5368,0.294425,,0.098484,7.93319,-1.29055,87.5743,0.098484,0.26,-1.0447548553347588,-0.749675989151001,0.0913007,999,,,,,,,65.3,2.968181818,65.3,2.968181818,,,,,,,,,,,,,,,,,,,"Alejandro Osuna","27915",696030
"Garrett Stubbs","PHI",18.049,29.818,26.8926,5.54967,4.11655,0.950901,0.139133,0.343089,2.80483,2.22175,2.23853,0.0706045,7.2039,0.320487,0.159005,0.193894,0.496867,0.514782,0.128755,0.206365,0.0750731,0.241596,0.310739,0.273844,0.290344,0.252978,0.564189,0.0839799,4.92618,0.266941,,0.00662529,2.0688,-1.45443,57.2727,0.00662529,0,-1.5033800606615841,1.392669677734375,0.0901723,999,,,,,,,17.4,0.966666666,17.4,0.966666666,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Enmanuel Valdez","PIT",12.628,46.734,42.1069,9.60643,6.03341,2.06296,0.0886141,1.42145,4.95626,5.36753,3.78792,0.0966034,10.1532,0.292287,0.413008,0.133842,0.680862,0.44289,0.168031,0.228144,0.0810528,0.217256,0.373076,0.293704,0.38262,0.294744,0.676324,0.154476,3.53687,0.264499,,-0.0463625,4.8272,-0.69478,85.6109,-0.0463625,-0.03,-0.8433673679828644,0.16487653739750385,0.0896627,999,,,,,,,41.2,3.169230769,41.2,3.169230769,,,,,,,,,,,,,,,,,,,"Enmanuel Valdez","21716",665839
"Jeferson Quero","MIL",6.703,22.717,20.9627,5.06245,3.37843,1.05598,0.0592568,0.568786,2.21957,2.71974,1.35905,0.0322375,4.25149,0.177673,0.183364,0.034166,0.37704,0.219863,0.0426141,0.241498,0.0598254,0.18715,0.319665,0.290933,0.378925,0.291458,0.669858,0.137427,3.63907,0.275249,,-0.0057141,2.28584,-0.398344,85.9976,-0.0057141,-0.02,-0.38271907763555646,0.49720678851008415,0.0890413,999,,,,,,,22.3,3.185714285,22.3,3.185714285,,,,,,,,,,,,,,,,,,,"Jeferson Quero","sa3015407",691620
"James Triantos","CHC",8.945,29.823,27.7935,7.29318,5.29102,1.40514,0.109893,0.487121,3.39714,2.99147,1.4961,0.059088,4.19769,0.263655,0.21666,0.0531254,0.57657,1.01558,0.1491,0.262406,0.0501661,0.140753,0.356411,0.304097,0.37345,0.29547,0.677547,0.111044,5.64511,0.291789,,0.0958999,3.09802,-0.425802,89.7837,0.0958999,0,-0.26521036028862,0.13804011046886444,0.0885053,999,,,,,,,19,2.111111111,19,2.111111111,,,,,,,,,,,,,,,,,,,"James Triantos","sa3017295",701649
"Alex Jackson","MIN",14.862,50.143,45.6877,8.92929,5.27732,2.00002,0.047101,1.60485,4.74187,5.4759,3.25826,0.0565468,15.9883,0.772977,0.29712,0.126965,0.723075,0.167401,0.0562367,0.195442,0.0649794,0.318855,0.20379,0.259127,0.346659,0.265759,0.605787,0.151217,2.64108,0.257979,,-0.0506286,3.99931,-1.92547,66.8575,-0.0506286,0,-2.0093276910483837,1.146759271621704,0.0883235,999,,,,,,,41,2.733333333,41,2.733333333,,,,,,,,,,,,,,,,,,,"Alex Jackson","17276",656577
"Matt Thaiss","BOS",8.299,25.635,22.1729,4.69749,3.20872,0.906357,0.022836,0.559577,2.57682,2.44438,2.97404,0.046163,6.21549,0.263947,0.15515,0.0689182,0.494598,0.171466,0.0658511,0.211857,0.116015,0.242461,0.478489,0.310391,0.330504,0.288308,0.640895,0.118647,2.89058,0.266052,,-0.0349282,2.51391,-0.515066,78.9523,-0.0349282,0.01,-0.6708603426814079,0.6503549311310053,0.0881739,999,,,,,,,27.3,3.4125,27.3,3.4125,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
"LaMonte Wade Jr.","CHW",37.854,123.765,105.5,23.0957,15.1168,4.17103,0.277898,3.52993,13.1852,12.3001,14.9607,0.697073,26.7967,1.45709,0.959459,0.888039,1.94617,0.564802,0.22565,0.218917,0.12088,0.216513,0.558304,0.321569,0.364099,0.303723,0.685668,0.145182,2.85046,0.256996,,-0.183027,13.686,-0.937783,93.5097,-0.183027,0,-1.1297739297151566,-2.273754358291626,0.0876063,999,,,,,,,122.9,3.234210526,122.9,3.234210526,,,,,,,,,,,,,,,,,,,"LaMonte Wade Jr.","18126",664774
"Jose Siri","LAA",11.802,37.774,34.385,7.24832,4.19885,1.30479,0.16509,1.57958,4.67154,4.23279,2.62651,0.00164241,13.7451,0.400048,0.20621,0.156218,0.408119,1.37266,0.29973,0.210799,0.0695322,0.363876,0.191088,0.273139,0.396162,0.290365,0.669301,0.185363,6.41738,0.294226,,0.104099,3.76742,-0.69587,83.3875,0.104099,0,-0.6355086266994476,0.1821296215057373,0.0866322,999,,,,,,,37.8,3.15,37.8,3.15,,,,,,,,,,,,,,,,,,,"Jose Siri","17452",642350
"Nathaniel Lowe","CIN",53.124,208.502,183.137,44.1247,30.8585,7.08008,0.393183,5.79285,22.7745,22.2759,22.5852,0.539101,49.8102,1.26442,1.29575,0.219974,4.56775,0.530338,0.180659,0.240938,0.108321,0.238895,0.453425,0.326357,0.378786,0.311331,0.705143,0.137848,2.53095,0.297539,,-0.325522,24.3442,-0.291921,93.9766,-0.325522,0.13,-1.814023643732071,-4.276504635810852,0.0865957,999,,,,,,,214,4.037735849,214,4.037735849,,,,,,,,,,,,,,,,,,,"Nathaniel Lowe","19566",663993
"Jacob Melton","TBR",42.526,146.749,134.911,29.4003,19.0826,6.28309,0.600738,3.43397,16.9858,13.4041,9.85259,0.165263,40.1562,0.869887,0.835799,0.279671,1.82811,7.18405,1.52386,0.217924,0.0671391,0.273638,0.245357,0.273933,0.349762,0.273264,0.623696,0.131838,6.4982,0.281763,,0.617089,12.5986,-4.74095,71.903,0.617089,0.99,-4.242592215538025,0.02122718095779419,0.0848679,688.9400024414062,,,,,,,119.4,2.776744186,119.4,2.776744186,,,,,,,,,,,,,,,,,,,"Jacob Melton","31661",689200
"Isiah Kiner-Falefa","BOS",53.438,207.904,193.004,48.8022,38.7904,7.44,0.725356,1.84647,21.4026,16.8724,9.231,0.147466,34.8514,2.47438,1.28879,1.52491,4.97946,6.11126,2.00727,0.252856,0.0444003,0.167632,0.264867,0.293729,0.327622,0.274582,0.621351,0.0747659,5.15971,0.297952,,0.0678566,18.0712,-6.49425,69.4967,0.0678566,0.02,-7.40663356333971,1.0597893185913563,0.0827579,999,,,,,,,165,3.113207547,165,3.113207547,,,,,,,,,,,,,,,,,,,"Isiah Kiner-Falefa","16512",643396
