Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jonah Tong","NYM",1.76047,1.88665,0.218879,3.55548,12.122,4.837,0,0.7173,,31.6919,131.979,25.2932,13.39,12.52,3.37723,12.6973,0.439967,1.00953,37.475,10.6423,3.60584,2.95141,0.95908,0.283947,0.096207,0.1877395659685135,0.213856,1.19875,0.283079,0.73959,,,3.45303,0.669349,0.636875,647.6500244140625,,,,,,,170.9,5.340625,157,4.90625,,,,,,,,,,,,,,,,,,,"Jonah Tong","32157",804636
"José Alvarado","PHI",2.25424,1.40336,0,3.74041,56.261,0,4,12.2601,,57.0259,242.838,50.7587,25.56,23.7,4.65883,22.6848,1.31513,3.45189,61.3304,9.67935,3.58019,2.70359,0.73527,0.252557,0.0934155,0.1591414138674736,0.234233,1.2879,0.30588,0.715521,,,3.42122,0.66743,0.388018,999,,,,,,,339.69999999999993,5.959649122807017,332,5.824561403508772,,,,,,,,,,,,,,,,,,,"Jose Alvarado","17780",621237
"Pete Fairbanks","MIA",2.35161,1.79361,0,3.81961,58.593,0,26,4.1124,,60.0846,251.851,53.2484,27.49,25.5,6.18811,20.5474,1.1814,2.35198,59.3716,8.89321,3.07777,2.8895,0.926909,0.235741,0.0815855,0.1541556864976883,0.232575,1.2282,0.288021,0.710948,,,3.64109,0.661808,0.446421,113.11000061035156,,,,,,,427.40000000000003,7.123333333333334,417,6.95,,,,,,,,,,,,,,,,,,,"Pete Fairbanks","17998",664126
"Ryan Walker","SFG",2.50568,1.89832,0,4.02056,59.824,0.177,23,6.1563,,61.6034,265.255,58.9861,29.58,27.52,5.59005,21.8579,1.28362,4.70902,62.8939,9.18854,3.19335,2.8774,0.816683,0.237107,0.0824034,0.15470392256975174,0.247126,1.31233,0.313718,0.702074,,,3.56667,0.658918,0.245277,157.50999450683594,,,,,,,415.6,6.703225806451614,416,6.709677419354839,,,,,,,,,,,,,,,,,,,"Ryan Walker","20423",676254
"Davis Martin","CHW",7.22516,11.1971,11.8366,5.22016,26.639,26.639,0,0,,151.047,660.438,155.747,93.71,87.61,26.3613,55.9453,0.514445,7.07999,109.687,6.53562,3.33345,1.96062,1.57071,0.166083,0.0847094,0.08137314766645432,0.260703,1.4015,0.280442,0.675008,,,5.20336,0.658039,0.056916,999,,,,,,,423.0000000000001,2.801324503311259,448,2.966887417218543,,,,,,,,,,,,,,,,,,,"Davis Martin","21448",663436
"Corbin Burnes","ARI",2.42213,2.10194,2.6569,3.92864,5.976,5.84,0,0,,35.0503,147.225,32.3351,16.31,15.3,3.57933,11.041,0.139738,1.58315,31.3669,8.0542,2.83504,2.84095,0.919079,0.213054,0.0749939,0.13805992156267166,0.240229,1.23754,0.288554,0.705489,,,3.75339,0.657691,0.587342,736.969970703125,,,,,,,149.60000000000002,4.274285714285715,146,4.171428571428572,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Shawn Armstrong","CLE",2.4243,2.26169,0,3.95139,63.324,0.396,3,16.457,,66.6221,280.741,60.4167,31.3,29.25,7.37566,21.9154,0.953291,2.48987,63.0342,8.51532,2.96056,2.87625,0.99638,0.224528,0.0780628,0.1464654579758644,0.235694,1.23581,0.285281,0.708719,,,3.78103,0.655407,0.410957,999,,,,,,,386.69999999999993,5.771641791044775,377,5.626865671641791,,,,,,,,,,,,,,,,,,,"Shawn Armstrong","12857",542888
"Ben Brown","CHC",1.58093,1.87975,0,4.07555,33.394,2.548,0,4.8063,,52.7782,223.929,46.8647,25.64,23.9,6.71883,19.8734,1.43422,1.70077,56.3429,9.60788,3.38891,2.83509,1.14573,0.251611,0.0887489,0.16286227852106094,0.231597,1.2645,0.288212,0.716847,,,3.8813,0.654662,0.349981,732.969970703125,,,,,,,249.90000000000003,4.715094339622643,240,4.528301886792453,,,,,,,,,,,,,,,,,,,"Ben Brown","23590",676962
"Will Vest","DET",2.45337,1.87319,0,3.73054,61.866,0.063,8,11.5243,,64.7037,271.264,58.3321,28.87,26.82,6.84324,21.0761,1.11549,2.27585,63.9052,8.88893,2.93159,3.03212,0.951865,0.235583,0.0776957,0.15788687020540237,0.235293,1.22726,0.290628,0.723756,,,3.61745,0.647936,0.509467,516.2999877929688,,,,,,,391.09999999999997,6.016923076923076,381,5.861538461538461,,,,,,,,,,,,,,,,,,,"Will Vest","19769",676684
"Eduard Bazardo","SEA",2.47614,2.04496,0,3.91033,60.479,0,0,14.0319,,64.1455,269.156,56.9024,29.8,27.87,7.29156,21.7485,1.3272,1.8956,64.8742,9.10225,3.05145,2.98293,1.02305,0.241028,0.0808025,0.16022562980651855,0.23177,1.22613,0.286195,0.713749,,,3.69596,0.647558,0.35262,999,,,,,,,353.3,5.5203125,343,5.359375,,,,,,,,,,,,,,,,,,,"Eduard Bazardo","20997",660825
