Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Oswald Peraza","LAA",71.423,252.205,230.163,49.6326,33.0371,9.13822,0.583844,6.87346,27.878,23.2246,17.0414,0.32059,67.2943,3.30003,1.23517,0.465417,4.17829,8.85741,2.2262,0.215641,0.0675695,0.266824,0.253236,0.277962,0.350008,0.276301,0.627969,0.134367,5.35749,0.271952,,0.509544,22.2739,-7.52607,73.6988,0.509544,0.23,-7.308554232120514,0.2824860103428364,0.169268,999,,,,,,,219.1,3.085915492,219.1,3.085915492,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Mark Vientos","NYM",110.792,452.553,413.466,96.1035,59.8085,17.873,0.602867,17.8191,49.5006,57.1472,31.3903,0.766969,119.276,3.63635,3.64414,0.415951,8.44227,0.672227,0.275493,0.232434,0.0693626,0.263563,0.263173,0.290023,0.407868,0.301777,0.697891,0.175434,2.15097,0.279572,,-0.599381,49.3286,-4.14405,95.6129,-0.599381,-0.06,-2.9524959325790405,-10.454212721437216,0.168799,412.20001220703125,,,,,,,458.6,4.131531531,458.6,4.131531531,,,,,,,,,,,,,,,,,,,"Mark Vientos","22184",668901
"Sam Haggerty","TEX",58.201,210.018,188.348,45.3135,32.6771,8.68125,1.34709,2.60806,25.8748,15.1252,16.8546,0.36263,46.4856,2.44735,1.21322,1.15446,3.42707,11.2057,2.65931,0.240583,0.0802533,0.221341,0.362577,0.309367,0.34252,0.289315,0.651887,0.101937,6.71203,0.304023,,0.81136,20.7672,-4.04801,85.2476,0.81136,-0.12,-2.8403178453445435,-2.814490668475628,0.161006,999,,,,,,,193.5,3.336206896,193.5,3.336206896,,,,,,,,,,,,,,,,,,,"Sam Haggerty","18054",664059
"Nick Yorke","PIT",36.531,138.109,127.264,31.9129,23.1836,6.0414,0.490765,2.1972,14.731,13.3275,8.71026,0.466445,31.2818,1.0898,0.859741,0.185486,2.61604,3.06259,0.990314,0.250762,0.063068,0.2265,0.278445,0.302436,0.357741,0.289272,0.660177,0.106979,4.74979,0.313972,,-0.00770005,13.6518,-2.66684,81.8622,-0.00770005,-0.17,-2.976636493112892,-0.04472224414348602,0.160995,999,,,,,,,121.3,3.278378378,121.3,3.278378378,,,,,,,,,,,,,,,,,,,"Nick Yorke","27504",694377
"Pavin Smith","ARI",101.951,394.345,345.684,80.1715,51.3625,16.4808,1.03692,11.2912,44.5277,45.3497,43.4582,1.3011,100.392,2.05074,2.77515,0.376602,7.20634,2.0312,0.687757,0.231921,0.110203,0.254579,0.432886,0.319011,0.383586,0.308748,0.702597,0.151665,3.31327,0.290908,,-0.506333,45.216,-1.37892,96.1034,-0.506333,-0.25,-2.327526807785034,-9.230013847351074,0.159854,999,,,,,,,393.5,3.857843137,393.5,3.857843137,,,,,,,,,,,,,,,,,,,"Pavin Smith","19892",656976
"Dylan Moore","PHI",34.907,119.163,105.134,21.9568,13.0224,4.38451,0.412072,4.13777,15.5401,12.2217,10.6344,0.112389,35.755,2.32592,0.764541,0.253725,1.00957,6.03482,1.93872,0.208845,0.0892427,0.300051,0.297425,0.293769,0.376459,0.294906,0.670227,0.167614,6.49362,0.26996,,0.242235,12.3241,-1.75589,85.9949,0.242235,-0.13,-1.7357509285211563,-0.6686882972717285,0.159622,999,,,,,,,112.2,3.205714285,112.2,3.205714285,,,,,,,,,,,,,,,,,,,"Dylan Moore","18042",664238
"Mickey Gasper","BOS",14.386,42.425,37.697,8.64075,5.97057,1.73162,0.090284,0.848269,4.21966,4.25004,3.63162,0.101058,8.02394,0.694904,0.296017,0.105423,0.814195,0.308356,0.0965545,0.229216,0.0856009,0.189132,0.452598,0.306413,0.347448,0.290179,0.653861,0.118232,3.34482,0.267591,,-0.0451805,4.22485,-0.787986,80.2408,-0.0451805,0.01,-1.0331948548555374,1.1200307700783014,0.158281,999,,,,,,,42.6,3.042857142,42.6,3.042857142,,,,,,,,,,,,,,,,,,,"Mickey Gasper","24759",681508
"Bryce Teodosio","LAA",55.159,199.889,184.894,37.6151,26.4949,7.59398,0.907303,2.61891,19.6165,13.0599,10.0846,0.0030663,63.6448,2.66774,1.02743,1.21565,2.60301,7.67642,1.56951,0.203442,0.0504508,0.318401,0.158451,0.253519,0.296822,0.244414,0.550341,0.0933798,6.27381,0.29247,,0.633463,12.4786,-11.1398,51.7333,0.633463,4.54,-10.73780870437622,5.391219079494476,0.156872,999,,,,,,,133.5,2.427272727,133.5,2.427272727,,,,,,,,,,,,,,,,,,,"Bryce Teodosio","29524",669326
"Trey Sweeney","DET",26.887,96.032,87.1931,18.2234,11.6358,3.44159,0.691105,2.45485,10.4408,9.16841,7.4001,0.160256,26.8182,0.79899,0.53534,0.104432,1.4397,1.73852,0.459537,0.209,0.0770587,0.279263,0.275936,0.275442,0.348786,0.274165,0.624228,0.139786,5.58586,0.269753,,0.0296289,8.3147,-3.03222,73.155,0.0296289,-0.01,-3.008819153532386,1.2347685005515814,0.156662,999,,,,,,,74.8,2.77037037,74.8,2.77037037,,,,,,,,,,,,,,,,,,,"Trey Sweeney","29575",700242
"Alan Roden","MIN",50.755,183.561,164.589,40.6106,29.6156,7.87378,0.844315,2.27687,19.8575,15.6492,13.9467,0.544007,31.4338,3.58614,1.20179,0.237035,4.12261,2.94089,0.796063,0.246739,0.0759786,0.171245,0.443685,0.317162,0.346338,0.29448,0.6635,0.0995995,4.8048,0.29023,,-0.0454898,18.9208,-2.76834,86.642,-0.0454898,0.68,-2.93546149879694,-1.9422054886817932,0.147351,999,,,,,,,169.2,3.317647058,169.2,3.317647058,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
